,Média,Mediana,Moda,Desvio Padrão,Variância,Curtose,Assimetria,1º Quartil,2º Quartil (Mediana),3º Quartil
Temp. Ins. (C),20.382027649769583,20.4,19.1,2.464995593710003,6.076203277009729,-0.41896625525553066,-0.11937759100417435,18.6,20.4,22.2
Temp. Max. (C),21.204147465437792,21.4,19.7,2.6758749583954935,7.1603067929680835,-0.27702115290209317,0.07886267042903006,19.3,21.4,22.9
Temp. Min. (C),20.18433179723502,20.2,21.8,2.494221774375986,6.221142259771292,-0.42564256880236906,-0.06994237363940962,18.4,20.2,21.9
Umi. Ins. (%),84.88018433179724,87.0,92.0,8.040661938566311,64.65224441030894,2.4329162516580647,-1.4070575756593184,81.0,87.0,91.0
Umi. Max. (%),85.8110599078341,88.0,93.0,7.904304223667212,62.478025260283324,3.1541287117343746,-1.580662163274289,82.0,88.0,92.0
Umi. Min. (%),81.35483870967742,84.0,90.0,10.003165568253984,100.06332138590204,1.4246848439818383,-1.2122671650508512,76.0,84.0,89.0
Pto Orvalho Ins. (C),17.663133640552996,17.8,16.1,1.792738786621609,3.2139123570575183,-0.20997356109222354,-0.16375927055612685,16.4,17.8,18.7
Pto Orvalho Max. (C),18.062672811059908,18.2,18.0,1.7078897117354457,2.916887267451784,-0.3372342131766617,-0.16471844082470977,16.9,18.2,19.2
Pto Orvalho Min. (C),17.33778801843318,17.5,17.6,1.845226747896332,3.404861751152074,-0.20240268104590653,-0.1236305851589182,16.1,17.5,18.5
Pressao Ins. (hPa),948.8032258064516,948.6,949.7,1.7408859785873598,3.0306839904420695,-0.2968553816238475,0.3407617519086979,947.6,948.6,949.8
Pressao Max. (hPa),948.9516129032259,948.8,949.7,1.7244993039901115,2.973897849462379,-0.25302448230087915,0.3394233012973108,947.8,948.8,949.9
Pressao Min. (hPa),948.4958525345622,948.3,947.4,1.7655739116254912,3.1172512374125376,-0.2150517508934513,0.34129356256387366,947.3,948.3,949.6
Vel. Vento (m/s),1.1760368663594472,0.8,0.4,1.0423339900352129,1.0864601467827273,2.6260999708223975,1.7075551234610027,0.5,0.8,1.5
Dir. Vento (m/s),192.3179723502304,195.0,147.0,96.21602478537154,9257.523425499232,-0.9825638053888475,-0.2112066719496145,133.0,195.0,273.0
Raj. Vento (m/s),2.9875576036866356,2.2,1.4,2.0565797810860653,4.229520395972009,1.0229707053293238,1.3416704004469715,1.5,2.2,3.9
Radiacao (KJ/m²),,,,,,,,,,
Chuva (mm),0.009216589861751152,0.0,0.0,0.06315643497742618,0.00398873527905786,54.73271879518672,7.2712590030401705,0.0,0.0,0.0
